SA2,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Hinduism_P,Islam_P,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_P,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_P,Religious_affiliation_ns_P,tot_p
1224,137,1988,8,135,0,4758,13,343,28,30,42,3,50,67,309,20,22,462,403,0,127,282,3,0,122,80,5058,21,19,1663,16193
1225,24,1018,0,67,0,2307,7,236,11,10,18,9,14,99,234,3,3,306,249,0,16,55,3,0,13,20,2582,6,16,737,8063
1226,140,459,3,44,0,3380,3,380,13,0,15,12,8,47,89,3,7,178,100,0,171,89,0,0,43,15,1649,10,3,651,7512
1228,101,720,11,65,0,3662,12,618,39,0,19,16,24,79,137,3,6,293,206,0,56,130,0,0,8,5,1542,9,3,541,8305
1229,868,1253,9,192,3,12034,17,2174,57,5,44,184,55,180,302,13,18,473,526,8,328,503,6,0,144,48,4536,14,7,2021,26022
1230,96,429,0,60,0,3264,3,341,10,0,14,6,10,33,84,0,0,169,100,3,97,61,0,0,12,11,1587,9,7,487,6893
1231,137,780,5,64,0,3766,6,473,3,12,23,11,18,45,130,11,3,307,139,5,73,260,4,0,12,0,2407,10,3,646,9353
1232,73,1669,0,78,0,3674,36,103,32,26,39,0,21,68,305,0,24,645,252,3,14,37,10,0,10,10,4490,44,7,1075,12745
1233,22,463,0,20,0,726,0,12,3,0,20,0,10,9,67,0,0,161,72,0,0,0,0,0,0,3,1439,10,14,325,3376
1234,23,578,0,14,0,977,15,37,5,0,34,0,0,19,92,3,5,195,61,0,0,3,0,0,0,4,1567,22,6,335,3995
1235,54,1418,0,59,0,2597,12,65,10,18,25,0,13,94,214,17,3,460,154,0,0,10,0,0,3,15,3040,15,24,930,9250
1236,189,297,3,32,0,2092,0,502,39,0,19,15,12,18,50,13,3,103,98,3,135,555,3,0,26,12,2441,27,7,897,7591
1237,208,262,27,22,0,4626,3,810,7,10,25,21,36,29,81,7,0,48,152,0,272,4402,0,0,69,22,1374,24,0,1059,13596
1239,499,1196,12,163,0,7756,22,1289,55,21,53,46,48,106,253,15,6,444,345,6,778,1664,3,0,168,49,6037,62,16,2188,23300
1240,79,1430,0,140,54,4186,28,158,36,33,58,11,10,87,253,6,12,513,294,0,57,141,3,0,40,15,3838,44,15,1062,12603
1241,248,3293,11,241,99,8037,43,401,84,122,125,16,39,184,503,47,19,981,559,16,126,116,6,3,81,70,8823,48,17,2185,26543
1242,311,493,183,50,8,2539,0,300,34,64,7,49,46,52,116,10,13,119,314,3,479,4124,0,0,218,47,1832,3,3,1776,13193
